DATE,TEMP_C,PRCP_CM,WDSP_MPS,TEMP_MA_8D,PRCP_MA_8D,WDSP_MA_8D,TEMP_MA_DIFF_1,TEMP_MA_DIFF_2,TEMP_MA_DIFF_3,TEMP_MA_DIFF_4,TEMP_MA_DIFF_5,TEMP_MA_DIFF_6,TEMP_MA_DIFF_7,TEMP_MA_DIFF_8,PRCP_MA_DIFF_1,PRCP_MA_DIFF_2,PRCP_MA_DIFF_3,PRCP_MA_DIFF_4,PRCP_MA_DIFF_5,PRCP_MA_DIFF_6,PRCP_MA_DIFF_7,PRCP_MA_DIFF_8,WDSP_MA_DIFF_1,WDSP_MA_DIFF_2,WDSP_MA_DIFF_3,WDSP_MA_DIFF_4,WDSP_MA_DIFF_5,WDSP_MA_DIFF_6,WDSP_MA_DIFF_7,WDSP_MA_DIFF_8
2019-01-30,-12.1,0.0,7.0,-4.8,0.2,5.4,-0.1,1.6,1.6,1.7,0.7,1.4,1.9,2.5,0.0,-0.1,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,0.4,0.3,-0.1,0.1,0.1,0.7,0.3,0.4
2019-01-31,-16.3,0.2,8.5,-7.0,0.2,5.9,-2.2,-2.3,-0.6,-0.6,-0.5,-1.5,-0.8,-0.3,0.0,0.0,-0.1,-0.3,-0.3,-0.3,-0.3,-0.2,0.5,0.9,0.8,0.4,0.6,0.6,1.2,0.8
2019-02-01,-14.4,0.0,4.3,-9.2,0.1,5.8,-2.2,-4.4,-4.5,-2.8,-2.8,-2.7,-3.7,-3.0,-0.1,-0.1,-0.1,-0.2,-0.4,-0.4,-0.4,-0.4,-0.1,0.4,0.8,0.7,0.3,0.5,0.5,1.1
2019-02-02,-8.3,0.0,4.9,-9.8,0.0,5.5,-0.6,-2.8,-5.0,-5.1,-3.4,-3.4,-3.3,-4.3,-0.1,-0.2,-0.2,-0.2,-0.3,-0.5,-0.5,-0.5,-0.3,-0.4,0.1,0.5,0.4,0.0,0.2,0.2
2019-02-03,4.8,0.1,3.3,-8.0,0.0,5.4,1.8,1.2,-1.0,-3.2,-3.3,-1.6,-1.6,-1.5,0.0,-0.1,-0.2,-0.2,-0.2,-0.3,-0.5,-0.5,-0.1,-0.4,-0.5,0.0,0.4,0.3,-0.1,0.1
2019-02-04,11.7,0.0,4.6,-5.9,0.0,5.2,2.1,3.9,3.3,1.1,-1.1,-1.2,0.5,0.5,0.0,0.0,-0.1,-0.2,-0.2,-0.2,-0.3,-0.5,-0.2,-0.3,-0.6,-0.7,-0.2,0.2,0.1,-0.3
2019-02-05,7.7,0.0,5.8,-3.6,0.0,5.4,2.3,4.4,6.2,5.6,3.4,1.2,1.1,2.8,0.0,0.0,0.0,-0.1,-0.2,-0.2,-0.2,-0.3,0.2,0.0,-0.1,-0.4,-0.5,0.0,0.4,0.3
2019-02-06,-1.4,1.3,3.4,-3.5,0.2,5.2,0.1,2.4,4.5,6.3,5.7,3.5,1.3,1.2,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,-0.2,0.0,-0.2,-0.3,-0.6,-0.7,-0.2,0.2
2019-02-07,-0.4,0.1,2.8,-2.1,0.2,4.7,1.4,1.5,3.8,5.9,7.7,7.1,4.9,2.7,0.0,0.2,0.2,0.2,0.2,0.1,0.0,0.0,-0.5,-0.7,-0.5,-0.7,-0.8,-1.1,-1.2,-0.7
2019-02-08,2.8,0.3,10.9,0.3,0.2,5.0,2.4,3.8,3.9,6.2,8.3,10.1,9.5,7.3,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.0,0.3,-0.2,-0.4,-0.2,-0.4,-0.5,-0.8,-0.9
2019-02-09,-6.6,0.1,8.1,1.3,0.2,5.5,1.0,3.4,4.8,4.9,7.2,9.3,11.1,10.5,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.5,0.8,0.3,0.1,0.3,0.1,0.0,-0.3
2019-02-10,-5.4,0.0,4.1,1.7,0.2,5.4,0.4,1.4,3.8,5.2,5.3,7.6,9.7,11.5,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,-0.1,0.4,0.7,0.2,0.0,0.2,0.0,-0.1
2019-02-11,-3.1,0.0,4.5,0.7,0.2,5.5,-1.0,-0.6,0.4,2.8,4.2,4.3,6.6,8.7,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.0,0.5,0.8,0.3,0.1,0.3,0.1
2019-02-12,-3.7,0.0,6.1,-1.3,0.2,5.7,-2.0,-3.0,-2.6,-1.6,0.8,2.2,2.3,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.2,0.7,1.0,0.5,0.3,0.5
2019-02-13,0.1,2.1,9.0,-2.2,0.5,6.1,-0.9,-2.9,-3.9,-3.5,-2.5,-0.1,1.3,1.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.6,0.7,0.6,1.1,1.4,0.9,0.7
2019-02-14,-1.4,0.1,5.6,-2.2,0.3,6.4,0.0,-0.9,-2.9,-3.9,-3.5,-2.5,-0.1,1.3,-0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.7,0.9,1.0,0.9,1.4,1.7,1.2
2019-02-15,4.6,0.0,6.5,-1.6,0.3,6.9,0.6,0.6,-0.3,-2.3,-3.3,-2.9,-1.9,0.5,0.0,-0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.8,1.2,1.4,1.5,1.4,1.9,2.2
2019-02-16,-2.7,0.1,6.1,-2.3,0.3,6.3,-0.7,-0.1,-0.1,-1.0,-3.0,-4.0,-3.6,-2.6,0.0,0.0,-0.2,0.1,0.1,0.1,0.1,0.1,-0.6,-0.1,0.2,0.6,0.8,0.9,0.8,1.3
2019-02-17,-5.2,0.0,3.4,-2.1,0.3,5.7,0.2,-0.5,0.1,0.1,-0.8,-2.8,-3.8,-3.4,0.0,0.0,0.0,-0.2,0.1,0.1,0.1,0.1,-0.6,-1.2,-0.7,-0.4,0.0,0.2,0.3,0.2
2019-02-18,-5.2,0.5,5.1,-2.1,0.3,5.8,0.0,0.2,-0.5,0.1,0.1,-0.8,-2.8,-3.8,0.0,0.0,0.0,0.0,-0.2,0.1,0.1,0.1,0.1,-0.5,-1.1,-0.6,-0.3,0.1,0.3,0.4
2019-02-19,-9.4,0.1,3.4,-2.9,0.4,5.6,-0.8,-0.8,-0.6,-1.3,-0.7,-0.7,-1.6,-3.6,0.1,0.1,0.1,0.1,0.1,-0.1,0.2,0.2,-0.2,-0.1,-0.7,-1.3,-0.8,-0.5,-0.1,0.1
2019-02-20,-7.2,0.0,2.5,-3.3,0.4,5.2,-0.4,-1.2,-1.2,-1.0,-1.7,-1.1,-1.1,-2.0,0.0,0.1,0.1,0.1,0.1,0.1,-0.1,0.2,-0.4,-0.6,-0.5,-1.1,-1.7,-1.2,-0.9,-0.5
2019-02-21,2.8,0.3,8.0,-3.0,0.1,5.1,0.3,-0.1,-0.9,-0.9,-0.7,-1.4,-0.8,-0.8,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.1,-0.5,-0.7,-0.6,-1.2,-1.8,-1.3,-1.0
2019-02-22,0.6,0.1,3.0,-2.7,0.1,4.7,0.3,0.6,0.2,-0.6,-0.6,-0.4,-1.1,-0.5,0.0,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.5,-0.9,-1.1,-1.0,-1.6,-2.2,-1.7
2019-02-23,-0.7,0.0,2.5,-3.4,0.1,4.2,-0.7,-0.4,-0.1,-0.5,-1.3,-1.3,-1.1,-1.8,0.0,0.0,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.5,-0.9,-1.0,-1.4,-1.6,-1.5,-2.1,-2.7
2019-02-24,4.9,0.0,7.6,-2.4,0.1,4.4,1.0,0.3,0.6,0.9,0.5,-0.3,-0.3,-0.1,0.0,0.0,0.0,-0.3,-0.3,-0.2,-0.2,-0.2,0.2,-0.3,-0.7,-0.8,-1.2,-1.4,-1.3,-1.9
2019-02-25,-2.4,0.5,13.4,-2.1,0.2,5.7,0.3,1.3,0.6,0.9,1.2,0.8,0.0,0.0,0.1,0.1,0.1,0.1,-0.2,-0.2,-0.1,-0.1,1.3,1.5,1.0,0.6,0.5,0.1,-0.1,0.0
2019-02-26,-6.4,0.1,5.6,-2.2,0.1,5.7,-0.1,0.2,1.2,0.5,0.8,1.1,0.7,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.3,-0.3,-0.2,0.0,1.3,1.5,1.0,0.6,0.5,0.1,-0.1
2019-02-27,-8.9,0.0,4.1,-2.2,0.1,5.8,0.0,-0.1,0.2,1.2,0.5,0.8,1.1,0.7,0.0,-0.1,0.0,0.0,0.0,0.0,-0.3,-0.3,0.1,0.1,1.4,1.6,1.1,0.7,0.6,0.2
2019-02-28,-8.3,1.3,2.2,-2.3,0.3,5.8,-0.1,-0.1,-0.2,0.1,1.1,0.4,0.7,1.0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,-0.1,0.0,0.1,0.1,1.4,1.6,1.1,0.7,0.6
2019-03-01,-5.2,0.1,1.8,-3.3,0.3,5.0,-1.0,-1.1,-1.1,-1.2,-0.9,0.1,-0.6,-0.3,0.0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,-0.8,-0.8,-0.7,-0.7,0.6,0.8,0.3,-0.1
2019-03-02,-0.8,0.0,2.1,-3.5,0.2,4.9,-0.2,-1.2,-1.3,-1.3,-1.4,-1.1,-0.1,-0.8,-0.1,-0.1,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.9,-0.9,-0.8,-0.8,0.5,0.7,0.2
2019-03-03,-1.9,0.2,2.6,-3.6,0.3,4.9,-0.1,-0.3,-1.3,-1.4,-1.4,-1.5,-1.2,-0.2,0.1,0.0,0.0,0.2,0.2,0.1,0.2,0.2,0.0,-0.1,-0.9,-0.9,-0.8,-0.8,0.5,0.7
2019-03-04,-5.4,0.2,4.9,-4.9,0.3,4.6,-1.3,-1.4,-1.6,-2.6,-2.7,-2.7,-2.8,-2.5,0.0,0.1,0.0,0.0,0.2,0.2,0.1,0.2,-0.3,-0.3,-0.4,-1.2,-1.2,-1.1,-1.1,0.2
2019-03-05,-10.1,0.1,5.2,-5.9,0.3,3.6,-1.0,-2.3,-2.4,-2.6,-3.6,-3.7,-3.7,-3.8,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.1,-1.0,-1.3,-1.3,-1.4,-2.2,-2.2,-2.1,-2.1
2019-03-06,-10.2,0.0,6.5,-6.3,0.2,3.7,-0.4,-1.4,-2.7,-2.8,-3.0,-4.0,-4.1,-4.1,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,0.1,0.1,0.1,-0.9,-1.2,-1.2,-1.3,-2.1,-2.1,-2.0
2019-03-07,-9.5,0.1,5.1,-6.4,0.3,3.8,-0.1,-0.5,-1.5,-2.8,-2.9,-3.1,-4.1,-4.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.2,-0.8,-1.1,-1.1,-1.2,-2.0,-2.0
2019-03-08,-7.8,0.0,3.2,-6.4,0.1,3.9,0.0,-0.1,-0.5,-1.5,-2.8,-2.9,-3.1,-4.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,0.1,0.2,0.3,-0.7,-1.0,-1.0,-1.1,-1.9
2019-03-09,-5.4,0.0,2.4,-6.4,0.1,4.0,0.0,0.0,-0.1,-0.5,-1.5,-2.8,-2.9,-3.1,0.0,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,0.1,0.2,0.3,0.4,-0.6,-0.9,-0.9,-1.0
2019-03-10,3.7,0.9,7.8,-5.8,0.2,4.7,0.6,0.6,0.6,0.5,0.1,-0.9,-2.2,-2.3,0.1,0.1,-0.1,0.0,-0.1,-0.1,-0.1,0.0,0.7,0.8,0.9,1.0,1.1,0.1,-0.2,-0.2
2019-03-11,2.5,0.1,9.8,-5.3,0.2,5.6,0.5,1.1,1.1,1.1,1.0,0.6,-0.4,-1.7,0.0,0.1,0.1,-0.1,0.0,-0.1,-0.1,-0.1,0.9,1.6,1.7,1.8,1.9,2.0,1.0,0.7
2019-03-12,-0.1,0.0,5.7,-4.6,0.2,5.7,0.7,1.2,1.8,1.8,1.8,1.7,1.3,0.3,0.0,0.0,0.1,0.1,-0.1,0.0,-0.1,-0.1,0.1,1.0,1.7,1.8,1.9,2.0,2.1,1.1
2019-03-13,0.6,0.0,2.3,-3.3,0.1,5.4,1.3,2.0,2.5,3.1,3.1,3.1,3.0,2.6,-0.1,-0.1,-0.1,0.0,0.0,-0.2,-0.1,-0.2,-0.3,-0.2,0.7,1.4,1.5,1.6,1.7,1.8
2019-03-14,10.9,0.0,2.7,-0.6,0.1,4.9,2.7,4.0,4.7,5.2,5.8,5.8,5.8,5.7,0.0,-0.1,-0.1,-0.1,0.0,0.0,-0.2,-0.1,-0.5,-0.8,-0.7,0.2,0.9,1.0,1.1,1.2
2019-03-15,11.2,0.0,8.4,2.0,0.1,5.3,2.6,5.3,6.6,7.3,7.8,8.4,8.4,8.4,0.0,0.0,-0.1,-0.1,-0.1,0.0,0.0,-0.2,0.4,-0.1,-0.4,-0.3,0.6,1.3,1.4,1.5
2019-03-16,2.1,0.0,9.2,3.2,0.1,6.0,1.2,3.8,6.5,7.8,8.5,9.0,9.6,9.6,0.0,0.0,0.0,-0.1,-0.1,-0.1,0.0,0.0,0.7,1.1,0.6,0.3,0.4,1.3,2.0,2.1
2019-03-17,-1.2,0.0,5.4,3.7,0.1,6.4,0.5,1.7,4.3,7.0,8.3,9.0,9.5,10.1,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,0.0,0.4,1.1,1.5,1.0,0.7,0.8,1.7,2.4
2019-03-18,-0.7,0.1,3.8,3.2,0.0,5.9,-0.5,0.0,1.2,3.8,6.5,7.8,8.5,9.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.5,-0.1,0.6,1.0,0.5,0.2,0.3,1.2
2019-03-19,0.7,0.2,2.6,2.9,0.0,5.0,-0.3,-0.8,-0.3,0.9,3.5,6.2,7.5,8.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.9,-1.4,-1.0,-0.3,0.1,-0.4,-0.7,-0.6
2019-03-20,3.7,0.0,2.9,3.4,0.0,4.7,0.5,0.2,-0.3,0.2,1.4,4.0,6.7,8.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-1.2,-1.7,-1.3,-0.6,-0.2,-0.7,-1.0
2019-03-21,7.1,0.0,3.1,4.2,0.0,4.8,0.8,1.3,1.0,0.5,1.0,2.2,4.8,7.5,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,-0.2,-1.1,-1.6,-1.2,-0.5,-0.1,-0.6
2019-03-22,4.3,0.1,4.9,3.4,0.1,5.0,-0.8,0.0,0.5,0.2,-0.3,0.2,1.4,4.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.3,0.0,-0.9,-1.4,-1.0,-0.3,0.1
2019-03-23,-1.6,0.2,8.1,1.8,0.1,5.0,-1.6,-2.4,-1.6,-1.1,-1.4,-1.9,-1.4,-0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.3,0.0,-0.9,-1.4,-1.0,-0.3
2019-03-24,3.8,0.0,6.4,2.0,0.1,4.6,0.2,-1.4,-2.2,-1.4,-0.9,-1.2,-1.7,-1.2,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.4,-0.4,-0.2,-0.1,-0.4,-1.3,-1.8,-1.4
2019-03-25,2.3,0.0,4.3,2.5,0.1,4.5,0.5,0.7,-0.9,-1.7,-0.9,-0.4,-0.7,-1.2,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,-0.1,-0.5,-0.5,-0.3,-0.2,-0.5,-1.4,-1.9
2019-03-26,-0.4,0.0,2.8,2.5,0.1,4.4,0.0,0.5,0.7,-0.9,-1.7,-0.9,-0.4,-0.7,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,-0.1,-0.2,-0.6,-0.6,-0.4,-0.3,-0.6,-1.5
2019-03-27,1.2,0.0,1.9,2.6,0.0,4.3,0.1,0.1,0.6,0.8,-0.8,-1.6,-0.8,-0.3,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,-0.1,-0.2,-0.3,-0.7,-0.7,-0.5,-0.4,-0.7
2019-03-28,7.9,0.0,5.4,3.1,0.0,4.6,0.5,0.6,0.6,1.1,1.3,-0.3,-1.1,-0.3,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.3,0.2,0.1,0.0,-0.4,-0.4,-0.2,-0.1
2019-03-29,9.2,0.0,3.0,3.3,0.0,4.6,0.2,0.7,0.8,0.8,1.3,1.5,-0.1,-0.9,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.3,0.2,0.1,0.0,-0.4,-0.4,-0.2
2019-03-30,10.4,0.0,4.6,4.1,0.0,4.6,0.8,1.0,1.5,1.6,1.6,2.1,2.3,0.7,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.3,0.2,0.1,0.0,-0.4,-0.4
2019-03-31,3.3,1.4,5.3,4.7,0.2,4.2,0.6,1.4,1.6,2.1,2.2,2.2,2.7,2.9,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,-0.4,-0.4,-0.4,-0.1,-0.2,-0.3,-0.4,-0.8
